29615066,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,2117 3 AVENUE,3 AVENUE,EAST 115 STREET,EAST 116 STREET,,,NEW YORK,NA,Precinct,11 MANHATTAN,MANHATTAN,1000812,MANHATTAN
29617488,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11214,33 BAY 40 STREET,BAY 40 STREET,86 STREET,BENSON AVENUE,,,BROOKLYN,NA,N/A,11 BROOKLYN,BROOKLYN,987840,BROOKLYN
29614732,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10466,1110 EAST 232 STREET,EAST 232 STREET,LACONIA AVENUE,BEND,,,BRONX,NA,Precinct,12 BRONX,BRONX,1026845,BRONX
29614713,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10304,56 TOMPKINS STREET,TOMPKINS STREET,BROWNELL STREET,QUINN STREET,,,STATEN ISLAND,NA,Precinct,01 STATEN ISLAND,STATEN ISLAND,962798,STATEN ISLAND
29614543,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11236,727 EAST 89 STREET,EAST 89 STREET,GLENWOOD ROAD,FLATLANDS AVENUE,,,BROOKLYN,NA,N/A,18 BROOKLYN,BROOKLYN,1009784,BROOKLYN
29617627,DOT,Department of Transportation,Street Condition,Pothole,,NA,,,,,,,,NA,N/A,Unspecified BRONX,BRONX,NA,BRONX
29618275,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11104,41-24 40 STREET,40 STREET,SKILLMAN AVENUE,43 AVENUE,,,SUNNYSIDE,NA,Precinct,02 QUEENS,QUEENS,1005406,QUEENS
29614507,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10128,1696 2 AVENUE,2 AVENUE,EAST 87 STREET,EAST 88 STREET,,,NEW YORK,NA,Precinct,08 MANHATTAN,MANHATTAN,997851,MANHATTAN
29615926,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11421,89-20 89 AVENUE,89 AVENUE,89 STREET,90 STREET,,,WOODHAVEN,NA,Precinct,09 QUEENS,QUEENS,1024633,QUEENS
29614640,DOT,Department of Transportation,Street Condition,Pothole,,NA,,,,,,,,NA,N/A,Unspecified BRONX,BRONX,NA,BRONX
